"","num_awards","prog","math"
"67",0,"General",45
"68",0,"Academic",49
"69",1,"Academic",53
"70",0,"General",54
"71",2,"Academic",50
"72",0,"Academic",48
"73",0,"Academic",51
"74",0,"General",41
"75",1,"Vocational",51
"76",0,"General",46
"77",0,"Vocational",55
"78",0,"General",46
"79",0,"General",61
"80",0,"Academic",45
"81",0,"Vocational",54
"82",0,"Academic",54
"83",1,"Academic",51
"84",0,"General",49
"85",0,"Vocational",56
"86",0,"Academic",53
"87",1,"General",49
"88",0,"General",57
"89",0,"General",42
"90",0,"Vocational",46
"91",0,"Vocational",45
"92",0,"General",55
"93",0,"Vocational",47
"94",0,"Academic",50
"95",0,"Vocational",41
"96",0,"General",52
"97",1,"Academic",57
"98",0,"Vocational",53
"99",1,"Vocational",51
"100",0,"General",57
"101",0,"Academic",51
"102",0,"Vocational",40
"103",0,"Vocational",50
"104",0,"Vocational",57
"105",0,"General",35
"106",0,"Academic",49
"107",0,"General",50
"108",1,"General",55
"109",0,"Academic",48
"110",0,"Academic",52
"111",1,"Academic",53
"112",1,"Academic",59
"113",2,"Academic",66
"114",0,"Academic",57
"115",1,"Academic",54
"116",0,"Vocational",57
"117",1,"Academic",54
"118",0,"Academic",54
"119",0,"Academic",54
"120",2,"Academic",49
"121",1,"Vocational",51
"122",3,"Academic",58
"123",1,"Academic",60
"124",0,"Academic",51
"125",0,"Academic",63
"126",1,"Academic",50
"127",1,"Academic",53
"128",0,"Academic",53
"129",0,"Academic",55
"130",1,"Academic",56
